???ulation income in region of Ukraine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(UAH mln.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Income ,,,,,,,,,,,,,,,Disposable income,,,,,,,,,,,,,,
,"Disposable income per capita, UAH",,,,,,,,,,,,,,,"Real disposable income, % of corresponding period of the previous year",,,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014¹,2015¹,2016 ¹?²,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014¹,2015¹,2016 ¹?²
Ukraine,2938.0,3400.3,4468.4,6332.1,7771.0,10126.0,13716.3,14372.8,18485.6,21637.9,25206.4,26719.4,26782.1,31044.3,35610.1,118.0,109.1,119.6,123.9,111.8,114.8,107.6,90.0,117.1,108.0,113.9,106.1,88.5,77.7,100.3
Autonomous Republic of Crimea,2422.3,2974.0,3838.6,5432.9,6567.0,8589.7,11515.8,12036.3,15480.0,18231.0,20751.0,22793.2,…,…,…,115.6,108.2,119.3,124.4,109.8,115.9,106.3,89.4,116.3,107.6,112.9,111.6,…,…,…
oblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinnytsya,2707.2,3211.4,4059.7,5791.1,6980.5,8963.3,11676.4,12191.7,16018.0,19090.8,21734.9,23000.6,23421.7,28875.7,33848.9,116.7,107.3,115.5,125.3,108.9,112.2,103.9,91.8,121.2,111.9,113.0,106.6,91.2,83.9,105.3
Volyn,2594.0,2974.1,3729.5,5254.2,6387.6,8022.6,10597.3,10966.8,14311.9,16657.7,18806.9,19804.9,20137.2,24222.3,28312.5,119.9,106.9,116.1,124.7,110.9,113.6,106.3,91.5,121.1,108.7,112.6,106.4,90.8,80.0,103.2
Dnipropetrovsk,3165.7,3701.7,4907.3,7015.9,8632.3,11439.0,15459.9,16386.5,20739.4,24302.4,28771.6,30300.6,32036.2,38403.8,43458.3,115.2,106.0,121.3,126.6,110.5,111.7,107.2,90.2,114.8,107.6,115.4,105.3,94.0,79.6,99.0
Donetsk,3091.4,3637.6,4984.0,7088.9,8855.9,11625.7,16220.1,17014.0,21317.3,24890.3,29336.6,31048.5,26234.4,20595.4,19434.3,117.6,107.9,123.2,122.2,112.1,116.6,110.9,89.1,113.4,106.6,114.2,104.3,75.4,53.2,80.6
Zhytomyr,2541.6,3040.5,3985.2,5568.5,6754.3,8864.5,12022.6,12179.8,15775.9,18716.4,21288.0,21652.1,22102.1,27041.6,31441.3,119.5,111.5,118.9,119.8,110.9,117.8,107.9,88.1,118.0,109.4,112.9,102.4,91.0,80.5,102.4
Zakarpattya,2072.0,2678.6,3444.6,4821.2,5757.7,7323.8,9664.5,9764.5,12699.6,15002.4,17191.4,17929.3,17358.1,21686.5,25045.3,115.1,113.4,121.6,124.4,109.6,116.8,111.9,90.2,119.7,111.4,113.9,105.5,86.9,82.8,101.6
Zaporizhzhya,3165.0,3769.7,4994.4,7074.5,8693.6,11276.2,15265.2,15652.6,20221.4,23684.9,27107.6,28388.1,30181.8,35546.7,42117.8,115.5,108.3,118.9,121.8,112.1,115.9,106.7,87.9,116.7,107.7,112.6,104.9,94.1,78.8,103.4
Ivano-Frankivsk,2349.1,2941.3,3780.2,5321.6,6463.4,8336.0,11262.8,11692.4,15009.4,17732.6,20148.4,20987.8,20356.7,25748.0,29975.4,118.4,110.0,120.7,125.7,113.1,118.3,109.8,90.2,118.7,110.9,113.1,105.0,86.7,84.1,103.2
Kyiv,3114.6,3521.7,4426.8,6305.0,7953.8,10248.8,14292.4,15024.9,19513.9,22520.1,26541.7,27390.6,28443.3,33207.4,39177.9,110.8,107.5,112.7,123.6,112.9,115.3,110.7,90.5,119.8,108.4,116.4,104.2,92.3,77.8,104.6
Kirovohrad,2576.6,3050.0,3885.5,5568.6,6672.0,8564.6,11489.3,11727.3,15417.7,18039.2,20553.7,21671.4,21954.1,26631.2,30979.9,117.9,107.9,112.1,122.7,110.0,114.9,107.4,89.6,120.7,108.1,112.3,106.0,89.8,82.1,101.8
Luhansk,2615.1,3150.6,4139.0,5900.9,7343.4,9620.0,13411.0,14071.6,17850.0,20879.9,24024.1,25590.3,19788.3,14882.5,11919.7,118.7,112.1,120.6,123.1,110.9,111.5,110.2,89.4,114.6,105.7,112.3,105.4,67.6,51.9,70.9
Lviv,2741.8,3401.6,4396.1,6203.1,7394.7,9523.8,12718.3,13211.3,16513.8,19204.4,21992.3,23138.3,23595.2,28772.1,33673.5,119.3,108.7,120.7,125.9,110.5,116.1,105.0,88.3,113.2,107.5,112.6,106.1,90.2,79.9,102.5
Mykolayiv,2771.2,3385.3,4354.7,6137.5,7318.4,9376.5,12626.5,13154.2,16993.4,20040.7,22878.0,23868.8,23458.5,28580.0,33186.6,120.4,105.8,116.8,123.2,109.2,114.1,105.4,89.5,117.0,108.0,112.7,104.1,87.4,81.4,101.8
Odesa,2472.8,3163.9,4221.4,5883.4,7006.1,8780.8,11754.4,12404.2,16275.2,19135.0,22224.4,25571.8,24242.0,31542.6,37732.0,119.2,110.5,121.9,124.4,108.8,111.6,104.0,90.4,118.1,107.7,113.9,115.4,83.8,85.7,103.9
Poltava,3048.1,3560.1,4683.5,6653.5,8064.2,10382.3,13922.0,14742.6,17990.9,20917.4,24027.2,25371.2,26195.7,31243.1,36393.3,123.7,108.2,117.7,121.0,108.6,112.7,104.1,91.0,111.1,107.2,113.1,106.1,92.2,79.4,100.3
Rivne,2560.1,2984.8,3787.9,5344.4,6540.6,8285.6,11124.6,11316.8,14629.8,17326.2,19859.8,21165.0,21781.0,25951.8,29757.4,118.4,106.3,115.9,122.9,114.2,113.0,107.2,88.2,119.5,110.2,114.9,108.1,91.5,78.6,100.7
